Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FT_Off_Impact,FT_Off_Eff,FTRD,FT_Def_Impact,FT_Def_Eff,FT_Net_Impact,FT_Net_Eff,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2pt_Off_Impact,2pt_Off_Eff,2PT%D,2PTRD,2pt_Def_Impact,2pt_Def_Eff,2pt_Net_Impact,2pt_Net_Eff,3PT%,3PTR,3pt_Off_Impact,3pt_Off_Eff,3PT%D,3PTRD,3pt_Def_Impact,3pt_Def_Eff,3pt_Net_Impact,3pt_Net_Eff,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,Norm_Elite_SOS,WAB
2025,Connecticut,BE,8,1,0,1,0,0,0,0,0,121.965,102.633,19.3318,0.883,0.555,0.483,0.791,0.306,12.80,13.24,0.4,15.41,15.95,-2.62,-2.71,0.171,0.155,-0.016,0.356,0.726,0.573,0.574,17.39,18.00,0.46,0.658,16.31,16.88,1.08,1.12,0.354,0.426,7.97,8.25,0.351,0.342,6.47,6.69,1.50,1.56,0.64,80.841,1.638,87.492,63.7849,23,30.085,0.604,2.2
2025,Creighton,BE,9,1,0,1,0,0,0,0,0,116.968,98.2653,18.7025,0.885,0.558,0.47,0.733,0.285,11.48,11.29,0.169,7.16,7.04,4.32,4.25,0.181,0.117,-0.064,0.269,0.728,0.605,0.51,16.96,16.68,0.458,0.648,17.59,17.30,-0.63,-0.62,0.339,0.49,9.13,8.98,0.327,0.352,6.82,6.71,2.31,2.27,0.634,83.115,1.954,59.745,67.1073,24,31.577,0.640,3.1
2025,Drake,MVC,11,1,0,1,0,0,0,0,0,112.641,98.498,14.1426,0.823,0.538,0.517,0.707,0.43,14.57,16.33,0.358,11.74,13.16,2.83,3.17,0.186,0.221,0.035,0.36,0.742,0.546,0.632,16.54,18.54,0.543,0.609,15.17,17.00,1.37,1.54,0.350,0.368,6.17,6.92,0.318,0.391,5.70,6.39,0.47,0.53,0.542,79.116,2.226,0.2,58.8833,28,12.625,0.183,2.3
2025,Duke,ACC,1,4,1,1,1,1,1,0,0,127.999,89.847,38.1518,0.981,0.574,0.445,0.784,0.321,14.18,14.22,0.254,9.84,9.86,4.34,4.35,0.144,0.177,0.033,0.352,0.735,0.58,0.546,17.84,17.89,0.434,0.621,14.60,14.64,3.24,3.25,0.377,0.454,9.64,9.67,0.309,0.379,6.34,6.36,3.30,3.31,0.581,82.221,0.968,80.734,65.803,31,30.63,0.618,9.6
2025,Florida,SEC,1,6,1,1,1,1,1,1,1,127.938,92.1126,35.8258,0.971,0.55,0.453,0.718,0.326,13.85,13.13,0.33,13.63,12.93,0.22,0.21,0.15,0.17,0.02,0.381,0.712,0.564,0.564,18.82,17.85,0.459,0.627,16.62,15.77,2.19,2.08,0.355,0.436,9.16,8.68,0.296,0.373,6.38,6.05,2.78,2.64,0.524,82.097,1.887,28.619,69.5912,30,37.75,0.789,11.1
2025,Georgia,SEC,9,0,0,0,0,0,0,0,0,115.468,96.1035,19.3641,0.9,0.525,0.472,0.717,0.398,15.41,15.29,0.304,11.85,11.76,3.56,3.53,0.188,0.18,-0.008,0.361,0.682,0.538,0.632,18.36,18.22,0.478,0.594,15.48,15.37,2.88,2.86,0.335,0.368,6.66,6.61,0.309,0.406,6.84,6.79,-0.18,-0.18,0.476,81.87,1.393,64.946,66.4963,20,37.778,0.790,2
2025,Gonzaga,WCC,8,1,0,1,0,0,0,0,0,123.611,96.3216,27.2891,0.944,0.557,0.475,0.801,0.309,15.09,14.18,0.286,11.75,11.04,3.34,3.14,0.132,0.182,0.05,0.327,0.736,0.578,0.665,23.44,22.02,0.491,0.594,16.76,15.75,6.68,6.27,0.344,0.335,7.03,6.60,0.302,0.406,7.05,6.62,-0.02,-0.02,0.619,80.873,2.522,61.194,70.2431,25,26.112,0.509,2.7
2025,Grand Canyon,WAC,13,0,0,0,0,0,0,0,0,107.859,100.641,7.21812,0.732,0.512,0.47,0.735,0.439,18.83,17.38,0.322,13.07,12.06,5.76,5.31,0.184,0.206,0.022,0.325,0.714,0.532,0.664,20.61,19.02,0.464,0.656,17.28,15.95,3.33,3.07,0.316,0.336,6.20,5.72,0.321,0.344,6.27,5.79,-0.07,-0.07,0.521,80.515,2.47,26.711,71.5151,25,10.398,0.129,-2.5
2025,High Point,BSth,13,0,0,0,0,0,0,0,0,118.496,109.181,9.31501,0.726,0.564,0.491,0.764,0.376,16.18,16.06,0.363,14.41,14.30,1.77,1.76,0.153,0.165,0.012,0.34,0.701,0.574,0.61,19.72,19.57,0.489,0.64,17.38,17.25,2.34,2.33,0.366,0.39,8.04,7.98,0.329,0.36,6.58,6.53,1.46,1.45,0.449,80.787,2.445,17.054,66.4904,27,6.978,0.047,-1.8
2025,Houston,B12,1,5,1,1,1,1,1,1,0,123.269,87.8253,35.4439,0.982,0.527,0.449,0.741,0.282,10.98,11.78,0.341,11.74,12.60,-0.77,-0.82,0.146,0.217,0.071,0.361,0.707,0.49,0.655,16.86,18.09,0.439,0.569,12.03,12.91,4.83,5.18,0.398,0.345,7.21,7.74,0.309,0.431,6.41,6.88,0.80,0.86,0.444,79.578,2.278,75.695,61.5016,30,38.577,0.809,11.6
