,Year,Team,Proj_Wins_Safer,Wins_Rank_Safer
722,2014,New Mexico St.,0.3781823171334302,50
723,2014,Oklahoma St.,0.652816570264577,37
724,2014,Louisiana Lafayette,0.2086398794478597,57
725,2014,BYU,0.6433353618559631,39
726,2014,American,0.10781304200536569,61
727,2014,North Carolina Central,0.3157193700530399,53
728,2014,Providence,0.988630580812164,28
729,2014,Saint Joseph's,0.4946619521266197,47
730,2014,Milwaukee,0.13941472007808545,60
731,2014,George Washington,0.7104675923550278,35
732,2014,Delaware,0.32701403782433847,51
733,2014,Coastal Carolina,0.09708919875564004,63
734,2014,Western Michigan,0.18879957399106645,58
735,2014,Mount St. Mary's,0.08482178914945601,66
736,2014,Albany,0.08972365190341407,64
737,2014,Tulsa,0.2572994180448488,55
738,2014,Eastern Kentucky,0.1599410942284281,59
739,2014,Colorado,0.7600270217413644,33
740,2014,Xavier,0.6258530221956635,40
741,2014,Wofford,0.1044891027874022,62
742,2014,Texas Southern,0.07581759687236704,68
743,2014,Massachusetts,0.6660644208100073,36
744,2014,Manhattan,0.32300918391194433,52
745,2014,Kansas St.,0.5942098238820748,43
746,2014,Cal Poly,0.0891734825867105,65
747,2014,Arizona St.,0.4672430962165731,49
612,2015,Duke,2.672354358287009,6
613,2015,Wisconsin,4.638504267516267,2
614,2015,Kentucky,6.684432732738341,1
615,2015,Michigan St.,0.8717411500301934,26
616,2015,Arizona,2.9238303849147957,4
617,2015,Gonzaga,1.8124058070060487,8
618,2015,Notre Dame,1.7298830984832674,9
619,2015,Louisville,1.4085214346823114,11
620,2015,North Carolina,1.8927881675919656,7
624,2015,Oklahoma,1.18513800782892,14
621,2015,Utah,0.8272510684059347,28
626,2015,West Virginia,1.2969464926589107,13
622,2015,Xavier,0.6197628489713323,33
623,2015,North Carolina St.,0.7193181788628362,31
625,2015,Wichita St.,0.9414567447670779,21
627,2015,UCLA,0.6177854303314844,34
628,2015,Villanova,3.062430649870773,3
629,2015,Virginia,2.8908129367776754,5
630,2015,Kansas,1.704988685216493,10
632,2015,Arkansas,0.9494544792886574,20
633,2015,Oregon,0.6447055532508359,32
634,2015,Ohio St.,0.9524540006562485,19
635,2015,Northern Iowa,0.9319383173527498,22
636,2015,Georgetown,0.8025253785887181,29
637,2015,Iowa,0.8743286535253114,25
638,2015,San Diego St.,0.8857454456440602,24
631,2015,Maryland,1.1093502410214602,16
642,2015,Butler,0.9916521803945287,17
639,2015,Georgia St.,0.27353316947972733,50
640,2015,Dayton,0.32576294375480314,49
641,2015,UAB,0.14867312462319757,60
643,2015,Cincinnati,0.45973975425292135,44
644,2015,Baylor,1.297600393333485,12
646,2015,Iowa St.,1.1765804071259744,15
645,2015,Providence,0.9652185605106827,18
647,2015,SMU,0.7684135557891429,30
648,2015,Purdue,0.5561207799306251,39
650,2015,Oklahoma St.,0.36180183358413276,47
651,2015,Texas Southern,0.1336911665733211,64
652,2015,Mississippi,0.5280324593013277,40
653,2015,Coastal Carolina,0.14962172332471738,59
654,2015,BYU,0.5959580193396813,35
655,2015,Harvard,0.261728341815521,52
656,2015,VCU,0.894881799270204,23
657,2015,Wofford,0.27013651774776665,51
658,2015,UC Irvine,0.20711499947711978,53
659,2015,LSU,0.48554491798006133,43
660,2015,Albany,0.19321303568032755,56
661,2015,Belmont,0.13714236663807838,63
662,2015,Boise St.,0.5150616870604385,42
663,2015,Lafayette,0.09061545580600315,67
664,2015,Georgia,0.524925715341718,41
665,2015,Wyoming,0.17245749829519683,57
666,2015,North Dakota St.,0.14528602024966247,62
667,2015,North Florida,0.1479225407853318,61
668,2015,Robert Morris,0.09082328095005596,66
669,2015,St. John's,0.5662559106581195,38
670,2015,Stephen F. Austin,0.34091452089927354,48
671,2015,Davidson,0.5705551885765762,37
672,2015,Eastern Washington,0.1974740329328471,55
649,2015,Texas,0.8490015703892764,27
673,2015,New Mexico St.,0.20314039450854124,54
674,2015,Northeastern,0.15147619995294315,58
675,2015,Manhattan,0.10298495833390026,65
676,2015,Buffalo,0.4239108426576733,46
677,2015,Hampton,0.058091587912704676,68
678,2015,Indiana,0.5744349675782703,36
679,2015,Valparaiso,0.4416510629144341,45
544,2016,Villanova,2.2705966309658865,5
545,2016,North Carolina,4.05906801357431,1
546,2016,Oklahoma,1.8377179586483772,8
547,2016,Syracuse,0.7813660825886246,36
548,2016,Kansas,3.2102696946199325,2
550,2016,Virginia,2.249577385459906,6
549,2016,Oregon,1.7471811129174954,10
551,2016,Notre Dame,0.9411801349561599,25
553,2016,Duke,1.75314017124246,9
552,2016,Texas A&M,1.5435562788352444,13
554,2016,Miami FL,1.4552508546775533,14
555,2016,Maryland,1.0913601289544939,19
556,2016,Indiana,1.1870726567014207,17
557,2016,Iowa St.,1.0409499395745363,22
558,2016,Wisconsin,0.6824567833317262,38
559,2016,Gonzaga,1.0776370440113068,20
560,2016,Xavier,1.7092347847693983,11
561,2016,Kentucky,2.3446109018925956,4
562,2016,VCU,0.8183073898416503,32
563,2016,Providence,0.8508748176068244,31
564,2016,Connecticut,1.0484159096734877,21
565,2016,Iowa,1.2069752785646588,16
566,2016,Butler,0.8155049017150693,33
567,2016,Utah,0.8833904978558125,29
568,2016,Yale,0.36845961052597254,50
569,2016,Northern Iowa,0.35744850835993486,51
570,2016,Saint Joseph's,0.916574099009428,27
571,2016,Stephen F. Austin,0.33475376517338196,54
572,2016,Wichita St.,0.8767788663007698,30
573,2016,Hawaii,0.4067803916941175,47
574,2016,Little Rock,0.6325252805989268,40
575,2016,Middle Tennessee,0.21952418910026983,59
576,2016,Michigan St.,2.7320300591524855,3
577,2016,West Virginia,2.0741918510425315,7
578,2016,Purdue,1.6432627356457379,12
579,2016,Seton Hall,1.2502428190490353,15
580,2016,Texas,0.9719670785910535,24
581,2016,Cincinnati,0.9391099570832973,26
582,2016,Baylor,0.90026122562944,28
583,2016,Pittsburgh,0.7661513974977183,37
584,2016,California,1.02429644444468,23
585,2016,Arizona,1.1312025589685841,18
586,2016,Oregon St.,0.4799167937292439,44
587,2016,Southern,0.10076694015713894,65
588,2016,Holy Cross,0.04783177513959477,68
589,2016,Green Bay,0.2218106029495306,58
