,Season,Team Name,Seed,Region,Year,Team
682,2016,Michigan,11,East,2016,Michigan
683,2016,Tulsa,11,East,2016,Tulsa
684,2016,West Virginia,3,East,2016,West Virginia
685,2016,Stephen F. Austin,14,East,2016,Stephen F. Austin
686,2016,Wisconsin,7,East,2016,Wisconsin
687,2016,Pittsburgh,10,East,2016,Pittsburgh
688,2016,Xavier,2,East,2016,Xavier
689,2016,Weber State,15,East,2016,Weber State
690,2016,Oregon,1,West,2016,Oregon
691,2016,Holy Cross,16,West,2016,Holy Cross
692,2016,Southern,16,West,2016,Southern
693,2016,Saint Joseph's,8,West,2016,Saint Joseph's
694,2016,Cincinnati,9,West,2016,Cincinnati
695,2016,Baylor,5,West,2016,Baylor
696,2016,Yale,12,West,2016,Yale
697,2016,Duke,4,West,2016,Duke
698,2016,UNC Wilmington,13,West,2016,UNC Wilmington
699,2016,Texas,6,West,2016,Texas
700,2016,Northern Iowa,11,West,2016,Northern Iowa
701,2016,Texas A&M,3,West,2016,Texas A&M
702,2016,Green Bay,14,West,2016,Green Bay
703,2016,Oregon State,7,West,2016,Oregon State
704,2016,VCU,10,West,2016,VCU
705,2016,Oklahoma,2,West,2016,Oklahoma
706,2016,Cal State Bakersfield,15,West,2016,Cal State Bakersfield
707,2016,Virginia,1,Midwest,2016,Virginia
708,2016,Hampton,16,Midwest,2016,Hampton
709,2016,Texas Tech,8,Midwest,2016,Texas Tech
710,2016,Butler,9,Midwest,2016,Butler
711,2016,Purdue,5,Midwest,2016,Purdue
712,2016,Little Rock,12,Midwest,2016,Little Rock
713,2016,Iowa State,4,Midwest,2016,Iowa State
714,2016,Iona,13,Midwest,2016,Iona
715,2016,Seton Hall,6,Midwest,2016,Seton Hall
716,2016,Gonzaga,11,Midwest,2016,Gonzaga
717,2016,Utah State,3,Midwest,2016,Utah State
718,2016,Fresno State,14,Midwest,2016,Fresno State
719,2016,Dayton,7,Midwest,2016,Dayton
720,2016,Syracuse,10,Midwest,2016,Syracuse
721,2016,Michigan State,2,Midwest,2016,Michigan State
722,2016,Middle Tennessee,15,Midwest,2016,Middle Tennessee
723,2015,Kentucky,1,Midwest,2015,Kentucky
724,2015,Hampton,16,Midwest,2015,Hampton
725,2015,Manhattan,16,Midwest,2015,Manhattan
726,2015,Cincinnati,8,Midwest,2015,Cincinnati
727,2015,Purdue,9,Midwest,2015,Purdue
728,2015,West Virginia,5,Midwest,2015,West Virginia
729,2015,Buffalo,12,Midwest,2015,Buffalo
730,2015,Maryland,4,Midwest,2015,Maryland
731,2015,Valparaiso,13,Midwest,2015,Valparaiso
732,2015,Butler,6,Midwest,2015,Butler
733,2015,Texas,11,Midwest,2015,Texas
734,2015,Notre Dame,3,Midwest,2015,Notre Dame
735,2015,Northeastern,14,Midwest,2015,Northeastern
736,2015,Wichita State,7,Midwest,2015,Wichita State
737,2015,Indiana,10,Midwest,2015,Indiana
738,2015,Kansas,2,Midwest,2015,Kansas
739,2015,New Mexico State,15,Midwest,2015,New Mexico State
740,2015,Wisconsin,1,West,2015,Wisconsin
741,2015,Coastal Carolina,16,West,2015,Coastal Carolina
742,2015,Oregon,8,West,2015,Oregon
743,2015,Oklahoma State,9,West,2015,Oklahoma State
744,2015,Arkansas,5,West,2015,Arkansas
745,2015,Wofford,12,West,2015,Wofford
746,2015,North Carolina,4,West,2015,North Carolina
747,2015,Harvard,13,West,2015,Harvard
748,2015,Xavier,6,West,2015,Xavier
749,2015,Ole Miss,11,West,2015,Ole Miss
750,2015,BYU,11,West,2015,BYU
751,2015,Baylor,3,West,2015,Baylor
752,2015,Georgia State,14,West,2015,Georgia State
753,2015,VCU,7,West,2015,VCU
754,2015,Ohio State,10,West,2015,Ohio State
755,2015,Arizona,2,West,2015,Arizona
756,2015,Texas Southern,15,West,2015,Texas Southern
757,2015,Villanova,1,East,2015,Villanova
758,2015,Lafayette,16,East,2015,Lafayette
759,2015,NC State,8,East,2015,NC State
760,2015,LSU,9,East,2015,LSU
761,2015,Northern Iowa,5,East,2015,Northern Iowa
762,2015,Wyoming,12,East,2015,Wyoming
763,2015,Louisville,4,East,2015,Louisville
764,2015,UC Irvine,13,East,2015,UC Irvine
765,2015,Providence,6,East,2015,Providence
766,2015,Dayton,11,East,2015,Dayton
767,2015,Boise State,11,East,2015,Boise State
768,2015,Oklahoma,3,East,2015,Oklahoma
769,2015,Ualbany,14,East,2015,Ualbany
770,2015,Michigan State,7,East,2015,Michigan State
771,2015,Georgia,10,East,2015,Georgia
772,2015,Virginia,2,East,2015,Virginia
773,2015,Belmont,15,East,2015,Belmont
774,2015,Duke,1,South,2015,Duke
775,2015,Robert Morris,16,South,2015,Robert Morris
776,2015,North Florida,16,South,2015,North Florida
777,2015,San Diego State,8,South,2015,San Diego State
778,2015,St. John's,9,South,2015,St. John's
779,2015,Utah,5,South,2015,Utah
780,2015,Stephen F. Austin,12,South,2015,Stephen F. Austin
781,2015,Georgetown,4,South,2015,Georgetown
782,2015,Eastern Washington,13,South,2015,Eastern Washington
783,2015,SMU,6,South,2015,SMU
784,2015,UCLA,11,South,2015,UCLA
785,2015,Iowa State,3,South,2015,Iowa State
786,2015,UAB,14,South,2015,UAB
787,2015,Iowa,7,South,2015,Iowa
788,2015,Davidson,10,South,2015,Davidson
789,2015,Gonzaga,2,South,2015,Gonzaga
790,2015,North Dakota State,15,South,2015,North Dakota State
791,2014,Florida,1,South,2014,Florida
792,2014,UAlbany,16,South,2014,UAlbany
793,2014,Mount St. Mary's,16,South,2014,Mount St. Mary's
794,2014,Colorado,8,South,2014,Colorado
795,2014,Pittsburgh,9,South,2014,Pittsburgh
796,2014,VCU,5,South,2014,VCU
797,2014,Stephen F. Austin,12,South,2014,Stephen F. Austin
798,2014,UCLA,4,South,2014,UCLA
799,2014,Tulsa,13,South,2014,Tulsa
800,2014,Ohio State,6,South,2014,Ohio State
801,2014,Dayton,11,South,2014,Dayton
802,2014,Syracuse,3,South,2014,Syracuse
803,2014,Western Michigan,14,South,2014,Western Michigan
804,2014,New Mexico,7,South,2014,New Mexico
805,2014,Stanford,10,South,2014,Stanford
806,2014,Kansas,2,South,2014,Kansas
807,2014,Eastern Kentucky,15,South,2014,Eastern Kentucky
808,2014,Virginia,1,East,2014,Virginia
809,2014,Coastal Carolina,16,East,2014,Coastal Carolina
810,2014,Memphis,8,East,2014,Memphis
811,2014,George Washington,9,East,2014,George Washington
812,2014,Cincinnati,5,East,2014,Cincinnati
813,2014,Harvard,12,East,2014,Harvard
814,2014,Michigan State,4,East,2014,Michigan State
815,2014,Delaware,13,East,2014,Delaware
816,2014,North Carolina,6,East,2014,North Carolina
817,2014,Providence,11,East,2014,Providence
818,2014,Iowa State,3,East,2014,Iowa State
819,2014,North Carolina Central,14,East,2014,North Carolina Central
820,2014,UConn,7,East,2014,UConn
821,2014,Saint Joseph's,10,East,2014,Saint Joseph's
822,2014,Villanova,2,East,2014,Villanova
823,2014,Milwaukee,15,East,2014,Milwaukee
824,2014,Arizona,1,West,2014,Arizona
825,2014,Weber State,16,West,2014,Weber State
826,2014,Gonzaga,8,West,2014,Gonzaga
827,2014,Oklahoma State,9,West,2014,Oklahoma State
828,2014,Oklahoma,5,West,2014,Oklahoma
829,2014,North Dakota State,12,West,2014,North Dakota State
830,2014,San Diego State,4,West,2014,San Diego State
831,2014,New Mexico State,13,West,2014,New Mexico State
832,2014,Baylor,6,West,2014,Baylor
833,2014,Nebraska,11,West,2014,Nebraska
834,2014,Creighton,3,West,2014,Creighton
835,2014,Louisiana,14,West,2014,Louisiana
836,2014,Oregon,7,West,2014,Oregon
837,2014,BYU,10,West,2014,BYU
838,2014,Wisconsin,2,West,2014,Wisconsin
839,2014,American University,15,West,2014,American University
840,2014,Wichita State,1,Midwest,2014,Wichita State
841,2014,Cal Poly,16,Midwest,2014,Cal Poly
842,2014,Texas Southern,16,Midwest,2014,Texas Southern
843,2014,Kentucky,8,Midwest,2014,Kentucky
844,2014,Kansas State,9,Midwest,2014,Kansas State
845,2014,Saint Louis,5,Midwest,2014,Saint Louis
846,2014,NC State,12,Midwest,2014,NC State
847,2014,Xavier,12,Midwest,2014,Xavier
848,2014,Louisville,4,Midwest,2014,Louisville
849,2014,Manhattan,13,Midwest,2014,Manhattan
850,2014,Massachusetts,6,Midwest,2014,Massachusetts
851,2014,Tennessee,11,Midwest,2014,Tennessee
852,2014,Iowa,11,Midwest,2014,Iowa
853,2014,Duke,3,Midwest,2014,Duke
854,2014,Mercer,14,Midwest,2014,Mercer
855,2014,Texas,7,Midwest,2014,Texas
856,2014,Arizona State,10,Midwest,2014,Arizona State
857,2014,Michigan,2,Midwest,2014,Michigan
858,2014,Wofford,15,Midwest,2014,Wofford
859,2013,Louisville,1,Midwest,2013,Louisville
860,2013,North Carolina A&T,16,Midwest,2013,North Carolina A&T
861,2013,Liberty,16,Midwest,2013,Liberty
862,2013,Colorado State,8,Midwest,2013,Colorado State
863,2013,Missouri,9,Midwest,2013,Missouri
864,2013,Oklahoma State,5,Midwest,2013,Oklahoma State
865,2013,Oregon,12,Midwest,2013,Oregon
866,2013,Saint Louis,4,Midwest,2013,Saint Louis
867,2013,New Mexico State,13,Midwest,2013,New Mexico State
868,2013,Memphis,6,Midwest,2013,Memphis
869,2013,Saint Mary's,11,Midwest,2013,Saint Mary's
870,2013,Middle Tennessee,11,Midwest,2013,Middle Tennessee
871,2013,Michigan State,3,Midwest,2013,Michigan State
872,2013,Valparaiso,14,Midwest,2013,Valparaiso
873,2013,Creighton,7,Midwest,2013,Creighton
874,2013,Cincinnati,10,Midwest,2013,Cincinnati
875,2013,Duke,2,Midwest,2013,Duke
876,2013,UAlbany,15,Midwest,2013,UAlbany
877,2013,Gonzaga,1,West,2013,Gonzaga
878,2013,Southern,16,West,2013,Southern
879,2013,Pittsburgh,8,West,2013,Pittsburgh
880,2013,Wichita State,9,West,2013,Wichita State
881,2013,Wisconsin,5,West,2013,Wisconsin
882,2013,Ole Miss,12,West,2013,Ole Miss
883,2013,Kansas State,4,West,2013,Kansas State
884,2013,La Salle,13,West,2013,La Salle
885,2013,Boise State,13,West,2013,Boise State
886,2013,Arizona,6,West,2013,Arizona
887,2013,Belmont,11,West,2013,Belmont
888,2013,New Mexico,3,West,2013,New Mexico
889,2013,Harvard,14,West,2013,Harvard
890,2013,Notre Dame,7,West,2013,Notre Dame
891,2013,Iowa State,10,West,2013,Iowa State
892,2013,Ohio State,2,West,2013,Ohio State
893,2013,Iona,15,West,2013,Iona
894,2013,Kansas,1,South,2013,Kansas
895,2013,Western Kentucky,16,South,2013,Western Kentucky
896,2013,North Carolina,8,South,2013,North Carolina
897,2013,Villanova,9,South,2013,Villanova
898,2013,VCU,5,South,2013,VCU
899,2013,Akron,12,South,2013,Akron
900,2013,Michigan,4,South,2013,Michigan
901,2013,South Dakota State,13,South,2013,South Dakota State
902,2013,UCLA,6,South,2013,UCLA
903,2013,Minnesota,11,South,2013,Minnesota
904,2013,Florida,3,South,2013,Florida
905,2013,Northwestern State,14,South,2013,Northwestern State
906,2013,San Diego State,7,South,2013,San Diego State
907,2013,Oklahoma,10,South,2013,Oklahoma
908,2013,Georgetown,2,South,2013,Georgetown
909,2013,Florida Gulf Coast,15,South,2013,Florida Gulf Coast
910,2013,Indiana,1,East,2013,Indiana
911,2013,James Madison,16,East,2013,James Madison
912,2013,Long Island University,16,East,2013,Long Island University
913,2013,NC State,8,East,2013,NC State
914,2013,Temple,9,East,2013,Temple
915,2013,UNLV,5,East,2013,UNLV
916,2013,California,12,East,2013,California
917,2013,Syracuse,4,East,2013,Syracuse
918,2013,Montana,13,East,2013,Montana
919,2013,Butler,6,East,2013,Butler
920,2013,Bucknell,11,East,2013,Bucknell
921,2013,Marquette,3,East,2013,Marquette
922,2013,Davidson,14,East,2013,Davidson
923,2013,Illinois,7,East,2013,Illinois
924,2013,Colorado,10,East,2013,Colorado
925,2013,Miami,2,East,2013,Miami
926,2013,Pacific,15,East,2013,Pacific
