Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FTRD,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2PT%D,2PTRD,3PT%,3PTR,3PT%D,3PTRD,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,WAB
2025,Grand Canyon,WAC,13,0,0,0,0,0,0,0,0,107.859,100.641,7.21812,0.732,0.512,0.47,0.735,0.439,0.322,0.184,0.206,0.022,0.325,0.714,0.532,0.664,0.464,0.656,0.316,0.336,0.321,0.344,0.521,80.515,2.47,26.711,71.5151,25,10.398,-2.5
2025,High Point,BSth,13,0,0,0,0,0,0,0,0,118.496,109.181,9.31501,0.726,0.564,0.491,0.764,0.376,0.363,0.153,0.165,0.012,0.34,0.701,0.574,0.61,0.489,0.64,0.366,0.39,0.329,0.36,0.449,80.787,2.445,17.054,66.4904,27,6.978,-1.8
2025,Houston,B12,1,5,1,1,1,1,1,1,0,123.269,87.8253,35.4439,0.982,0.527,0.449,0.741,0.282,0.341,0.146,0.217,0.071,0.361,0.707,0.49,0.655,0.439,0.569,0.398,0.345,0.309,0.431,0.444,79.578,2.278,75.695,61.5016,30,38.577,11.6
2025,Illinois,B10,6,1,0,1,0,0,0,0,0,121.633,98.0448,23.5881,0.923,0.523,0.473,0.759,0.346,0.268,0.158,0.127,-0.031,0.36,0.737,0.573,0.531,0.461,0.696,0.311,0.469,0.333,0.304,0.519,82.012,1.177,74.592,71.4016,21,39.298,3.4
2025,Iowa St.,B12,3,1,0,1,0,0,0,0,0,119.483,92.4824,27.0002,0.948,0.546,0.484,0.757,0.385,0.289,0.169,0.218,0.049,0.322,0.716,0.551,0.631,0.475,0.593,0.358,0.369,0.332,0.407,0.539,81.053,2.401,35.926,68.6373,24,36.738,5.4
2025,Kansas,B12,7,0,0,0,0,0,0,0,0,116.021,92.761,23.2603,0.927,0.531,0.462,0.711,0.243,0.28,0.167,0.156,-0.011,0.304,0.725,0.534,0.657,0.461,0.593,0.352,0.343,0.309,0.407,0.609,82.013,2.526,65.96,68.4297,21,41.748,4.1
2025,Kentucky,SEC,3,2,0,1,1,0,0,0,0,123.868,99.6111,24.2565,0.931,0.56,0.504,0.738,0.359,0.31,0.152,0.14,-0.012,0.287,0.741,0.559,0.583,0.537,0.565,0.374,0.417,0.308,0.435,0.567,82.178,2.329,46.326,71.013,22,43.526,5.6
2025,Liberty,CUSA,12,0,0,0,0,0,0,0,0,112.496,98.9632,13.5325,0.831,0.584,0.459,0.654,0.309,0.263,0.153,0.169,0.016,0.189,0.72,0.577,0.523,0.48,0.656,0.395,0.477,0.28,0.344,0.612,79.4,2.265,2.365,65.3931,25,13.412,-0.32
2025,Lipscomb,ASun,14,0,0,0,0,0,0,0,0,112.711,103.225,9.48582,0.672,0.559,0.486,0.796,0.314,0.223,0.144,0.159,0.015,0.24,0.735,0.567,0.526,0.499,0.628,0.367,0.474,0.31,0.372,0.544,80.035,2.583,0.2,65.9466,23,11.694,-4.1
2025,Louisville,ACC,8,0,0,0,0,0,0,0,0,118.177,95.5301,22.6465,0.929,0.534,0.492,0.744,0.345,0.268,0.165,0.186,0.021,0.322,0.728,0.57,0.519,0.483,0.603,0.330,0.481,0.337,0.397,0.519,81.168,2.555,20.225,68.826,27,29.98,5.5
2025,Marquette,BE,7,0,0,0,0,0,0,0,0,117.695,96.1073,21.5878,0.898,0.52,0.499,0.723,0.261,0.302,0.135,0.215,0.08,0.301,0.69,0.549,0.537,0.513,0.602,0.325,0.463,0.318,0.398,0.495,80.58,2.084,62.664,67.6373,23,34.207,3.6
2025,Maryland,B10,4,2,0,1,1,0,0,0,0,118.089,91.7546,26.3341,0.945,0.538,0.47,0.755,0.329,0.259,0.145,0.202,0.057,0.31,0.728,0.527,0.645,0.476,0.642,0.372,0.355,0.307,0.358,0.504,80.919,1.64,66.049,69.8717,25,31.337,4.6
2025,McNeese St.,SInd,12,1,0,1,0,0,0,0,0,114.303,100.611,13.6921,0.796,0.533,0.475,0.707,0.357,0.314,0.162,0.216,0.054,0.347,0.687,0.532,0.633,0.469,0.534,0.356,0.367,0.322,0.466,0.501,78.891,2.515,25.961,65.427,25,12.768,-0.9
2025,Memphis,Amer,5,0,0,0,0,0,0,0,0,113.302,98.1617,15.1407,0.806,0.536,0.485,0.702,0.394,0.336,0.192,0.191,-0.001,0.351,0.677,0.52,0.669,0.486,0.593,0.380,0.331,0.322,0.407,0.52,80.871,2.425,53.401,70.8385,29,23.012,4.9
2025,Michigan,B10,5,2,1,1,1,0,0,0,0,116.787,94.9671,21.8201,0.907,0.545,0.463,0.728,0.35,0.285,0.198,0.16,-0.038,0.332,0.702,0.577,0.575,0.459,0.611,0.334,0.425,0.313,0.389,0.585,83.403,2.239,57.267,69.6043,25,37.294,6.2
2025,Michigan St.,B10,2,3,0,1,1,1,0,0,0,118.056,90.49,27.5664,0.941,0.512,0.461,0.781,0.378,0.331,0.166,0.164,-0.002,0.353,0.754,0.536,0.673,0.491,0.586,0.308,0.327,0.279,0.414,0.616,81.913,1.752,74.743,67.7809,27,34.707,7.8
2025,Mississippi,SEC,6,2,0,1,1,0,0,0,0,117.897,95.8241,22.0726,0.9,0.511,0.505,0.738,0.356,0.395,0.128,0.205,0.077,0.254,0.692,0.51,0.598,0.516,0.56,0.341,0.402,0.327,0.44,0.535,79.496,2.701,56.397,68.1108,22,41.324,4.8
2025,Mississippi St.,SEC,8,0,0,0,0,0,0,0,0,118.786,98.6992,20.0867,0.889,0.517,0.519,0.7,0.316,0.354,0.151,0.19,0.039,0.341,0.705,0.552,0.577,0.501,0.558,0.314,0.423,0.361,0.442,0.533,80.466,2.053,58.075,68.2016,21,38.324,3
