,Year,Team,Proj_Wins_Risky
525,2023,UNC Asheville,0.09882836933643667
416,2023,USC,0.6802190951255738
478,2023,Montana St.,0.19575922383668395
481,2023,Louisiana Lafayette,0.27181116356571233
507,2023,Oral Roberts,0.6018482274643369
522,2023,Vermont,0.1447557100692028
527,2023,Texas Southern,0.014044477368675588
532,2023,Providence,0.591913779002176
490,2023,College of Charleston,0.5550680483366868
505,2023,North Carolina St.,0.9711942581035681
524,2023,Utah St.,0.6005686708641027
526,2023,UC Santa Barbara,0.2020200324854414
528,2023,Texas A&M Corpus Chris,0.06755693071805187
530,2023,Southeast Missouri St.,0.01687725688138924
477,2023,Drake,0.4357881154446079
479,2023,Mississippi St.,0.5618886897273658
482,2023,Kent St.,0.6005087500152373
483,2023,Kennesaw St.,0.16564884328436855
485,2023,Iowa,0.5393778993374997
492,2023,Colgate,0.13602630092281462
506,2023,Northern Kentucky,0.08528893569814938
1,2022,Kansas,3.1532727994840255
17,2022,North Carolina,1.0188344701979077
42,2022,Villanova,2.8858452776735377
25,2022,Duke,2.716599937943837
63,2022,Houston,2.4277016599736227
94,2022,Arkansas,0.7881310946984564
57,2022,Miami FL,0.8957376350484865
91,2022,Saint Peter's,0.06554730182644665
112,2022,Gonzaga,2.727217708628924
127,2022,Texas Tech,1.500274579280861
144,2022,UCLA,1.8885445031691064
170,2022,Purdue,1.535152868537583
177,2022,Arizona,1.9785070779543394
146,2022,Michigan,0.6849241714370152
188,2022,Providence,0.5801463147492963
140,2022,Iowa St.,0.8511580039241935
318,2022,Baylor,3.358447302983193
317,2022,Auburn,2.0046195090120458
222,2022,Tennessee,2.404821576707613
206,2022,Notre Dame,0.7274315251622954
240,2022,Michigan St.,0.6295607669215229
223,2022,Texas,1.3553026949876754
262,2022,Saint Mary's,1.3845265315935582
264,2022,Murray St.,1.005316177294309
258,2022,Ohio St.,0.6079311988153383
380,2022,Illinois,1.201156214033517
243,2022,Wisconsin,1.1524501186140526
209,2022,New Mexico St.,0.23421959363441197
225,2022,Memphis,0.543894217102423
266,2022,TCU,0.7621695244113812
216,2022,Richmond,0.2444883641601478
364,2022,Creighton,0.5393252136180819
397,2022,Kentucky,2.6599037711144944
406,2022,Connecticut,0.9987294748465734
394,2022,LSU,1.581062370302861
399,2022,Iowa,2.0542801776814517
412,2022,Boise St.,0.8131915171902782
386,2022,Seton Hall,0.8157816766984781
387,2022,San Diego St.,0.5805232629893379
393,2022,Rutgers,0.25169990598463304
401,2022,Montana St.,0.10504154194167663
402,2022,Georgia St.,0.06716285045948732
405,2022,Davidson,0.48996221330487166
410,2022,Cal St. Fullerton,0.051027608507704686
413,2022,Alabama,0.6688678613650718
500,2022,Vermont,0.3910186047240762
385,2022,San Francisco,0.9007379163358071
391,2022,Marquette,0.4324488180326005
400,2022,Indiana,0.4275459209029415
403,2022,Norfolk St.,0.05314157995290058
414,2022,Akron,0.08671599385729808
496,2022,Yale,0.0821958108635702
497,2022,Wyoming,0.354665826730018
499,2022,Virginia Tech,1.210972275319243
395,2022,Loyola Chicago,0.5434478253059504
396,2022,Longwood,0.14649114802600918
404,2022,Delaware,0.10004211990755
407,2022,Colorado St.,0.5764779532314595
409,2022,Chattanooga,0.646011072198192
411,2022,Bryant,0.0558999597546103
498,2022,Wright St.,0.053325635507011394
502,2022,UAB,0.7085683540991897
398,2022,Jacksonville St.,0.07129181041990214
408,2022,Colgate,0.10606232443610825
417,2022,South Dakota St.,0.3321977958235117
476,2022,Texas A&M Corpus Chris,0.03199725061038541
501,2022,USC,0.6407308067167641
503,2022,Texas Southern,0.05752303127875931
3,2021,Baylor,4.571520125556369
13,2021,Gonzaga,3.605871902518174
37,2021,Houston,2.9481727591112374
47,2021,UCLA,0.6679074633626497
93,2021,Michigan,2.1354041442497262
65,2021,Arkansas,1.6223682354186781
75,2021,USC,1.6078524699543257
95,2021,Oregon St.,0.2947889377240678
108,2021,Alabama,4.408608237190103
98,2021,Creighton,1.207697978556182
156,2021,Oregon,1.480797110160792
191,2021,Florida St.,1.0787477344695695
128,2021,Villanova,1.049915893615968
189,2021,Oral Roberts,0.06226393134874296
150,2021,Syracuse,0.8321327712863146
181,2021,Loyola Chicago,0.6282969352401004
276,2021,Iowa,1.9370038964620904
267,2021,Illinois,2.268675880045549
274,2021,Kansas,1.6380793298746783
369,2021,Colorado,1.9181321946647538
304,2021,Oklahoma St.,1.2838097883069397
305,2021,Oklahoma,0.5209513585030833
325,2021,LSU,1.559727004002718
298,2021,Florida,0.6890089915762407
346,2021,Texas Tech,0.7750044351963026
284,2021,West Virginia,0.9405391906527885
310,2021,Ohio,0.16478707998226258
320,2021,Maryland,0.4426786448050272
376,2021,Abilene Christian,0.16370338933650558
309,2021,Wisconsin,1.1547330058684127
313,2021,North Texas,0.20466513406388714
373,2021,Rutgers,0.6772412134198037
384,2021,Virginia,1.2640151547779908
726,2021,Texas,1.4943949943435089
720,2021,Ohio St.,1.5406913185503066
722,2021,Purdue,1.344620635570318
723,2021,San Diego St.,1.2783938940502437
736,2021,Connecticut,1.0039921553948632
740,2021,BYU,0.8866353145264997
713,2021,North Carolina,1.21427473354357
725,2021,Tennessee,0.9690167601888007
731,2021,Georgia Tech,0.8041839447962869
739,2021,Clemson,1.1009850603949596
389,2021,VCU,0.5657052596141746
390,2021,Wichita St.,0.2453140109807073
676,2021,UC Santa Barbara,0.23375728391336478
716,2021,Missouri,0.48920589583508084
719,2021,Norfolk St.,0.019725180435864617
730,2021,Grand Canyon,0.0921622664023741
733,2021,Eastern Washington,0.07852867477420244
735,2021,Drake,0.530604347277832
741,2021,Appalachian St.,0.01741301171453572
535,2021,UNC Greensboro,0.27037204581968116
715,2021,Michigan St.,0.33079253569536754
718,2021,Mount St. Mary's,0.012757199857589595
724,2021,St. Bonaventure,0.5874845697216824
727,2021,Texas Southern,0.02443041574330897
728,2021,Iona,0.035560592024738616
732,2021,Georgetown,0.45273027067835914
388,2021,Virginia Tech,0.295759351558141
392,2021,Winthrop,0.2974908570337767
533,2021,Utah St.,0.415734718531358
729,2021,Hartford,0.04560935282665145
737,2021,Colgate,0.15306071577359545
714,2021,Liberty,0.1545589775021622
717,2021,Morehead St.,0.09670904276122752
734,2021,Drexel,0.028318215682664277
738,2021,Cleveland St.,0.08392407518016108
5,2019,Virginia,3.5147551973850777
18,2019,Texas Tech,1.5186366182747146
44,2019,Auburn,3.4749765998439717
36,2019,Michigan St.,1.4869942142422141
67,2019,Duke,3.3170723630259857
50,2019,Purdue,2.4481768939446082
84,2019,Gonzaga,1.460603390611458
82,2019,Kentucky,1.4105822983626601
164,2019,Michigan,2.3367392250658674
125,2019,Florida St.,2.1854519193362876
173,2019,LSU,1.7210064229942141
115,2019,Houston,2.1280606603209367
132,2019,Virginia Tech,1.606238545873791
134,2019,Tennessee,1.5738750823981422
120,2019,North Carolina,3.038342980531915
139,2019,Oregon,1.1606455401590408
194,2019,Florida,1.1700746730935063
221,2019,Buffalo,1.1887180013426213
251,2019,Maryland,0.9092466857047715
337,2019,Villanova,0.9786244110233817
244,2019,Kansas,1.7968513766654621
334,2019,Washington,0.9076263385270242
358,2019,Wofford,1.2812796670778916
207,2019,Baylor,0.5874189128219977
220,2019,Murray St.,0.2428112645033844
203,2019,Liberty,0.24946992504716026
248,2019,Minnesota,0.3368809342161671
349,2019,UCF,0.42216163775557963
199,2019,Iowa,0.46266905544406534
249,2019,Oklahoma,0.5815837486051068
350,2019,UC Irvine,0.4216105759894178
239,2019,Ohio St.,0.3990350717443149
703,2019,Kansas St.,1.705180057617628
685,2019,Marquette,0.7273624703506302
710,2019,Syracuse,1.06717324030556
678,2019,Mississippi St.,1.5001989727581557
693,2019,Louisville,0.813377639801143
721,2019,VCU,0.5781070991593602
692,2019,Mississippi,0.6007651544367572
702,2019,Cincinnati,1.100704661198816
743,2019,Wisconsin,1.344900351228103
709,2019,Iowa St.,0.9252030757683093
679,2019,Montana,0.12468720779597364
680,2019,Nevada,0.7805696936196124
684,2019,Northern Kentucky,0.1385573645144929
687,2019,Prairie View A&M,0.03571279244750372
691,2019,St. John's,0.43626128180016926
700,2019,Arizona St.,0.39114928769207113
705,2019,Fairleigh Dickinson,0.015587436945278766
744,2019,Vermont,0.2159948768622074
682,2019,North Carolina Central,0.007848418768921934
683,2019,North Dakota St.,0.02562253868468498
688,2019,Saint Louis,0.23441518532170183
695,2019,Bradley,0.038182960544495576
701,2019,Belmont,0.28866656278878045
711,2019,Temple,0.48489837749598363
742,2019,Yale,0.12706040455561984
686,2019,Old Dominion,0.25847368067449256
689,2019,Saint Mary's,0.6478290653597489
704,2019,Colgate,0.10916584055911986
706,2019,Gardner Webb,0.025301801368967643
534,2019,Abilene Christian,0.060522762901693505
677,2019,Northeastern,0.15497366930298426
681,2019,New Mexico St.,0.6128078922765718
690,2019,Seton Hall,0.43712868416093087
707,2019,Georgia St.,0.2734799835318082
708,2019,Iona,0.021825728758073273
712,2019,Utah St.,0.3720835467109226
10,2018,Villanova,4.458702838330686
21,2018,Michigan,1.8398278737699563
38,2018,Kansas,2.4392375434437423
28,2018,Loyola Chicago,0.262365884080764
51,2018,Duke,2.651817986094214
58,2018,Florida St.,0.6318640239066404
80,2018,Texas Tech,1.0793105447396232
49,2018,Kansas St.,0.6810609035030715
178,2018,Gonzaga,2.499675991511001
159,2018,Purdue,2.017007140350307
143,2018,West Virginia,1.7547840783678106
102,2018,Texas A&M,0.8522825636631224
174,2018,Nevada,0.9581330281268488
184,2018,Kentucky,1.442011311819174
157,2018,Syracuse,0.7571598645895969
169,2018,Clemson,0.9816911017077732
250,2018,North Carolina,2.360576419363279
227,2018,Cincinnati,1.9521270168817269
196,2018,Xavier,2.469311866095333
202,2018,Florida,1.1234102452498997
229,2018,Tennessee,1.0918136563521428
213,2018,Michigan St.,1.2216712468609623
261,2018,Auburn,1.294834483214879
197,2018,Houston,0.8483871255357375
246,2018,Ohio St.,1.3448494291811228
254,2018,Butler,1.3466100387729028
192,2018,Rhode Island,0.8729351140564944
224,2018,Seton Hall,1.0416147014821127
211,2018,Marshall,0.09607632709907779
230,2018,Alabama,0.3910511751938426
253,2018,UMBC,0.053589699351546775
257,2018,Buffalo,0.3414597982562577
745,2018,Virginia,4.347356204112784
812,2018,Arizona,1.6351488797159772
696,2018,Virginia Tech,0.501582597432213
697,2018,Wichita St.,0.8120709500639207
800,2018,Miami FL,1.0699723064503575
806,2018,Creighton,0.7296159719901174
746,2018,UNC Greensboro,0.33249438036900614
782,2018,Texas Southern,0.017488217440258046
783,2018,Providence,0.6363455834015743
786,2018,North Carolina Central,0.0059722336218265976
792,2018,San Diego St.,0.7674965504423258
793,2018,South Dakota St.,0.5533877679254307
798,2018,Montana,0.33609001235295555
799,2018,Missouri,0.4680989009582758
802,2018,Lipscomb,0.08385661291685197
747,2018,UCLA,0.6130748956468954
784,2018,Murray St.,0.2754303354514263
790,2018,Radford,0.05523950311837184
794,2018,St. Bonaventure,0.35730572134912897
795,2018,Stephen F. Austin,0.22047250685792666
801,2018,LIU Brooklyn,0.013816561215275722
808,2018,Cal St. Fullerton,0.02505466704438864
810,2018,Arkansas,0.7349684275339957
698,2018,Wright St.,0.11020670502870443
797,2018,Texas,0.8910427814573242
804,2018,Georgia St.,0.13581936419541293
805,2018,Davidson,0.41361180731806574
785,2018,New Mexico St.,0.5715798469545786
787,2018,North Carolina St.,0.6319928352065849
788,2018,Oklahoma,0.7922654428190605
789,2018,Penn,0.11841278265882081
796,2018,TCU,0.701369919671332
803,2018,Iona,0.06724981155527045
807,2018,College of Charleston,0.1410037604353517
809,2018,Bucknell,0.14073795603058148
811,2018,Arizona St.,0.535116178305988
2,2017,North Carolina,3.1704194249946087
23,2017,Gonzaga,2.0345167329807956
40,2017,Oregon,1.3759170605298179
33,2017,South Carolina,0.6024699198646208
72,2017,Kansas,2.1032938546645803
68,2017,Kentucky,2.4061193456684213
76,2017,Xavier,0.774938258233628
61,2017,Florida,1.6053161861365122
136,2017,Arizona,1.999122289692681
130,2017,Butler,1.3202483109744698
187,2017,UCLA,1.7346289187461408
185,2017,West Virginia,1.9328121007605705
124,2017,Baylor,1.14254948802523
161,2017,Wisconsin,1.7101805000286436
101,2017,Michigan,1.8729969223321827
118,2017,Purdue,1.1274784508842277
247,2017,Villanova,5.02253321941614
195,2017,Duke,2.1316675786273493
263,2017,Louisville,2.0054819723714954
205,2017,Florida St.,1.611833957860263
228,2017,Notre Dame,1.9585583012040981
236,2017,Virginia,1.6994238547752893
252,2017,Iowa St.,1.5957114469348952
210,2017,Saint Mary's,0.9391919200895892
208,2017,Cincinnati,1.7003095440399207
237,2017,Middle Tennessee,0.6198254988754719
242,2017,Wichita St.,0.9486786344781771
256,2017,Northwestern,0.5785391119053036
204,2017,USC,0.5998783574507567
217,2017,Arkansas,0.5883233234910872
200,2017,Rhode Island,0.3828565664749551
234,2017,Michigan St.,0.22262513400105122
757,2017,SMU,1.9501607981504976
780,2017,Vanderbilt,0.6392543863571273
769,2017,Marquette,0.7507957853645121
755,2017,Seton Hall,0.6120861407804921
