,Year,Team,Seed,Region,Proj_Wins,Wins,Sim_Wins
712,2014,Colorado,8,South,0.8460519910585093,0,0
722,2014,Wofford,15,Midwest,0.1441178581790392,0,0
723,2014,North Carolina St.,12,Midwest,0.5640743227652752,0,0
724,2014,Texas Southern,16,Midwest,0.0891162954946958,0,0
725,2014,Massachusetts,6,Midwest,0.6160171649502063,0,0
726,2014,Manhattan,13,Midwest,0.3226060491690969,0,0
727,2014,Kansas St.,9,Midwest,0.5537170051977932,0,0
730,2014,Cal Poly,16,Midwest,0.1374258019243611,0,0
731,2014,Arizona St.,10,Midwest,0.540847181530105,0,0
781,2013,Louisville,1,Midwest,3.4410823326887487,6,6
765,2013,Michigan,4,South,1.655661029139804,5,2
799,2013,Syracuse,4,East,1.736440766474251,4,2
748,2013,Wichita St.,9,West,0.934546866653172,4,0
749,2013,Ohio St.,2,West,2.512046364750612,3,4
766,2013,Florida,3,South,1.8542211162274316,3,3
782,2013,Duke,2,Midwest,1.5191618016594737,3,3
800,2013,Marquette,3,East,0.890858694819718,3,2
802,2013,Indiana,1,East,2.5667343313919964,2,5
768,2013,Kansas,1,South,2.2521862766755345,2,4
801,2013,Miami FL,2,East,1.9338322553522331,2,3
751,2013,Arizona,6,West,1.477696480143608,2,2
783,2013,Michigan St.,3,Midwest,1.5040125493215937,2,2
750,2013,La Salle,13,West,0.3944911969545283,2,0
767,2013,Florida Gulf Coast,15,South,0.2548010105542139,2,0
784,2013,Oregon,12,Midwest,1.035764906200586,2,0
755,2013,Gonzaga,1,West,2.0222770848753315,1,3
803,2013,Illinois,7,East,1.0824342293513398,1,1
806,2013,Butler,6,East,0.8890184011852623,1,1
769,2013,North Carolina,8,South,1.2204574411145723,1,1
770,2013,San Diego St.,7,South,0.7796890949496654,1,1
771,2013,Minnesota,11,South,1.0474250659902695,1,1
772,2013,VCU,5,South,1.0483704096915998,1,1
785,2013,Saint Louis,4,Midwest,0.7993792552229412,1,1
787,2013,Colorado St.,8,Midwest,1.2520672388137897,1,1
752,2013,Iowa St.,10,West,0.7340476863398171,1,0
753,2013,Mississippi,12,West,1.2756064330027086,1,0
754,2013,Harvard,14,West,0.1678332214572772,1,0
804,2013,Temple,9,East,0.5521262897712007,1,0
805,2013,California,12,East,0.5718707788401444,1,0
786,2013,Memphis,6,Midwest,0.8304882701822717,1,0
788,2013,Creighton,7,Midwest,0.7117505218265056,1,0
764,2013,Wisconsin,5,West,1.472589159436752,0,2
779,2013,Georgetown,2,South,1.2089184994684017,0,2
790,2013,Oklahoma St.,5,Midwest,1.1149297143247312,0,2
756,2013,Notre Dame,7,West,0.8671097025175138,0,1
757,2013,Pittsburgh,8,West,1.5796282137951825,0,1
759,2013,New Mexico,3,West,1.3025935739207193,0,1
760,2013,Kansas St.,4,West,1.0173754568563975,0,1
808,2013,North Carolina St.,8,East,0.7421790438569894,0,1
809,2013,UNLV,5,East,0.8788089753577302,0,1
791,2013,Saint Mary's,11,Midwest,0.8383443965398675,0,1
797,2013,Cincinnati,10,Midwest,1.0542534401140498,0,1
758,2013,Southern,16,West,0.1857873350520165,0,0
761,2013,Iona,15,West,0.2814905875018867,0,0
762,2013,Boise St.,13,West,0.5147788328274128,0,0
763,2013,Belmont,11,West,0.4188388750151826,0,0
807,2013,Pacific,15,East,0.2163267533333656,0,0
810,2013,Montana,13,East,0.1598164725473676,0,0
811,2013,LIU Brooklyn,16,East,0.0978383940270219,0,0
812,2013,James Madison,16,East,0.1390811668228025,0,0
813,2013,Davidson,14,East,0.3729005341223071,0,0
814,2013,Colorado,10,East,0.7998894618631145,0,0
815,2013,Bucknell,11,East,0.5245151541572702,0,0
773,2013,Akron,12,South,0.6076101307362187,0,0
774,2013,Northwestern St.,14,South,0.2101364881860871,0,0
775,2013,Oklahoma,10,South,0.6880077658700154,0,0
776,2013,Western Kentucky,16,South,0.1426507625822944,0,0
777,2013,South Dakota St.,13,South,0.2904686633861706,0,0
778,2013,UCLA,6,South,0.8649756554196539,0,0
780,2013,Villanova,9,South,0.7897629938687879,0,0
789,2013,North Carolina A&T,16,Midwest,0.0955913453060154,0,0
792,2013,Valparaiso,14,Midwest,0.3107902860783058,0,0
793,2013,New Mexico St.,13,Midwest,0.380071531857398,0,0
794,2013,Missouri,9,Midwest,1.0981708144016382,0,0
795,2013,Middle Tennessee,11,Midwest,0.5474977091858572,0,0
796,2013,Liberty,16,Midwest,0.0488844022469139,0,0
798,2013,Albany,15,Midwest,0.1890083057943553,0,0
