,YEAR,GAME_ROUND,Team0,Team1,KADJ T,KADJ O,KADJ D,KADJ EM,EFG%,EFG%D,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,2PT%,2PT%D,3PT%,3PT%D,AST%,2PTR,3PTR,2PTRD,3PTRD,EFF HGT,EXP,TALENT,FT%,ELITE SOS,WAB,Winner
0,2025,CHAMPIONSHIP,Houston,Florida,-8.089599999999997,-4.668999999999997,-4.287300000000002,-0.3819000000000017,-2.299999999999997,-0.3999999999999986,-4.400000000000002,1.1000000000000014,-0.40000000000000036,4.699999999999999,-2.0,-0.5,-7.399999999999999,-2.0,4.299999999999997,1.2999999999999972,-8.0,9.100000000000001,-9.100000000000001,-5.800000000000004,5.800000000000004,-2.5189999999999912,0.391,47.07599999999999,2.299999999999997,0.8269999999999982,0.5,1
0,2025,FINAL 4,Duke,Auburn,-1.8654000000000082,-0.5060000000000002,-3.6193000000000097,3.1133000000000024,1.6999999999999957,-1.5,-1.3999999999999986,-13.800000000000004,1.0,0.3000000000000007,0.9000000000000057,3.799999999999997,1.8999999999999986,-3.8000000000000043,0.9000000000000057,1.6999999999999993,2.6000000000000014,-4.799999999999997,4.799999999999997,-3.1000000000000014,3.1000000000000014,1.1640000000000015,-1.605,46.300999999999995,4.400000000000006,-14.934000000000001,-2.9000000000000004,1
1,2025,FINAL 4,Florida,Houston,8.089599999999997,4.668999999999997,4.287300000000002,0.3819000000000017,2.299999999999997,0.3999999999999986,4.400000000000002,-1.1000000000000014,0.40000000000000036,-4.699999999999999,2.0,0.5,7.399999999999999,2.0,-4.299999999999997,-1.2999999999999972,8.0,-9.100000000000001,9.100000000000001,5.800000000000004,-5.800000000000004,2.5189999999999912,-0.391,-47.07599999999999,-2.299999999999997,-0.8269999999999982,-0.5,1
15,2025,ELITE 8,Tennessee,Houston,2.122499999999995,-3.288000000000011,0.7172999999999945,-4.005299999999998,0.09999999999999432,-0.5,7.199999999999999,-4.700000000000003,1.4000000000000004,-3.8999999999999986,-0.7000000000000028,-0.7999999999999972,5.100000000000001,2.8000000000000043,-5.799999999999997,-3.099999999999998,15.800000000000004,-8.5,8.5,-2.0,2.0,1.774000000000001,0.3719999999999999,-23.95199999999999,0.20000000000000284,2.7049999999999983,-2.299999999999999,1
15,2025,ELITE 8,Duke,Alabama,-9.1374,1.4009999999999962,-6.84490000000001,8.2454,1.1000000000000014,-3.3999999999999986,-8.0,-8.5,-2.299999999999999,4.199999999999999,0.5,2.700000000000003,-1.7000000000000028,-5.399999999999999,2.700000000000003,0.09999999999999787,4.0,0.8000000000000043,-0.8000000000000043,-2.8000000000000043,2.799999999999997,-0.35999999999999943,-0.851,22.161999999999992,6.800000000000011,-15.840999999999998,-0.20000000000000107,0
14,2025,ELITE 8,Texas Tech,Florida,-4.103300000000004,-2.6030000000000086,5.167299999999997,-7.770300000000002,0.5,2.700000000000003,-2.900000000000002,0.5,-0.1999999999999993,0.3999999999999986,-3.8000000000000043,0.29999999999999716,-2.1000000000000014,2.3000000000000043,2.3999999999999986,2.099999999999998,6.100000000000001,-1.0,1.0,3.200000000000003,-3.1999999999999957,-2.242999999999995,0.08499999999999996,8.328000000000003,4.6000000000000085,-2.5260000000000034,-5.3,1
16,2025,ELITE 8,Michigan St.,Auburn,0.11249999999999716,-10.448999999999998,-2.976300000000009,-7.4720999999999975,-4.5,0.10000000000000142,4.299999999999997,-6.100000000000001,3.200000000000001,-1.0,1.0,5.700000000000003,-2.5,1.8999999999999986,-5.9999999999999964,-1.3000000000000007,6.100000000000001,7.899999999999999,-7.899999999999999,-6.600000000000001,6.600000000000001,0.8559999999999945,-0.821,40.309999999999995,4.099999999999994,-10.857,-4.7,1
13,2025,SWEET 16,Purdue,Houston,3.5341000000000022,0.8939999999999912,12.537700000000001,-11.643699999999999,3.5999999999999943,7.100000000000001,6.400000000000002,-3.1000000000000014,1.0,-3.8999999999999986,-5.100000000000001,-0.6000000000000085,6.5,12.5,-1.2999999999999972,-0.1999999999999993,13.300000000000004,-3.6000000000000014,3.6000000000000014,0.3999999999999986,-0.3999999999999986,1.0609999999999928,-0.794,-1.7489999999999952,-1.0999999999999943,-0.11699999999999733,-7.3,1
14,2025,SWEET 16,Tennessee,Kentucky,-7.388900000000007,-3.8870000000000005,-11.0685,7.182100000000002,-3.200000000000003,-6.0,-0.5,-1.6000000000000014,0.8000000000000007,3.8000000000000007,6.699999999999999,-4.199999999999989,-1.7999999999999972,-7.0,-3.3999999999999986,-3.0,3.5,-1.2999999999999972,1.2999999999999972,-1.6000000000000014,1.6000000000000014,-0.8259999999999934,0.32099999999999973,5.417000000000002,0.5,-2.244000000000007,3.700000000000001,0
13,2025,SWEET 16,Arizona,Duke,4.129400000000004,-5.432000000000002,6.977400000000003,-12.409500000000001,-4.5,4.100000000000001,4.5,3.8000000000000007,1.799999999999999,-1.0999999999999979,0.6999999999999957,-2.0,-2.8999999999999986,3.8000000000000043,-5.300000000000004,2.700000000000003,-1.3999999999999986,10.800000000000004,-10.799999999999997,-4.0,4.0,-1.722999999999999,0.952,-14.465999999999994,0.0,13.629000000000001,-4.199999999999999,1
