,Year,Team,Proj_Wins_Agg,Wins_Rank_Agg
714,2014,Cincinnati,1.3722332404138868,18
731,2014,George Washington,0.7391710581300416,34
715,2014,Ohio St.,1.2094647694226557,23
716,2014,New Mexico,0.8472189919033428,29
717,2014,VCU,1.601657631092989,11
719,2014,Iowa,1.1001815834000777,25
740,2014,Xavier,0.6106915395110782,38
720,2014,Weber St.,0.03996258917019462,67
721,2014,Nebraska,0.5025463626555561,44
722,2014,New Mexico St.,0.23822261105629972,52
723,2014,Oklahoma St.,0.5717044763712844,39
724,2014,Louisiana Lafayette,0.16214185572453954,57
725,2014,BYU,0.6234011317173704,37
726,2014,American,0.0664881112560921,61
727,2014,North Carolina Central,0.21828950080936177,54
728,2014,Providence,1.0117020214768222,26
729,2014,Saint Joseph's,0.4824924182874317,45
730,2014,Milwaukee,0.0934194435358706,60
732,2014,Delaware,0.2388606295024363,51
733,2014,Coastal Carolina,0.05923712050300067,62
734,2014,Western Michigan,0.13195777529788286,59
735,2014,Mount St. Mary's,0.0463813825576729,66
736,2014,Albany,0.05632075930431625,63
737,2014,Tulsa,0.21251153282734173,56
738,2014,Eastern Kentucky,0.1356200154125843,58
739,2014,Colorado,0.7781909882842076,32
718,2014,North Carolina St.,0.512179727407055,43
741,2014,Wofford,0.05473604830389067,64
742,2014,Texas Southern,0.0376285265746915,68
743,2014,Massachusetts,0.6444832531317779,36
744,2014,Manhattan,0.27590095889796723,50
745,2014,Kansas St.,0.5553736044301625,41
746,2014,Cal Poly,0.05273599827250585,65
747,2014,Arizona St.,0.4282555847006594,49
612,2015,Duke,2.368410140983405,6
613,2015,Wisconsin,5.134458430557341,2
614,2015,Kentucky,5.66694367064772,1
615,2015,Michigan St.,0.8956559998106185,25
616,2015,Arizona,2.92654472650703,4
617,2015,Gonzaga,1.7216964686194416,8
619,2015,Louisville,1.5281559765025514,12
618,2015,Notre Dame,1.46927396001343,14
620,2015,North Carolina,2.1841180790314505,7
624,2015,Oklahoma,1.4890215340454023,13
621,2015,Utah,0.763481207585581,28
626,2015,West Virginia,1.7038846911593717,9
622,2015,Xavier,0.6087194623835465,35
623,2015,North Carolina St.,0.6903546759789984,31
625,2015,Wichita St.,1.0651204281581528,17
627,2015,UCLA,0.587079843063542,36
629,2015,Virginia,3.5881039358903566,3
628,2015,Villanova,2.898781831336922,5
630,2015,Kansas,1.6814518364312716,10
632,2015,Arkansas,0.9212189433221983,24
633,2015,Oregon,0.6860284476576417,32
635,2015,Northern Iowa,1.0554458467642924,18
636,2015,Georgetown,0.7114252428926617,30
637,2015,Iowa,0.8687680055736865,27
638,2015,San Diego St.,1.0358921530924234,21
631,2015,Maryland,1.1480382107227818,16
642,2015,Butler,1.2129385323687214,15
634,2015,Ohio St.,0.9781569182437468,22
639,2015,Georgia St.,0.22506741106678113,50
640,2015,Dayton,0.23778599624385532,49
641,2015,UAB,0.09682445705886283,61
643,2015,Cincinnati,0.4334120945329351,45
644,2015,Baylor,1.5308333486621268,11
646,2015,Iowa St.,1.0407051420014526,20
656,2015,VCU,1.0548221872526997,19
645,2015,Providence,0.9733494860194202,23
647,2015,SMU,0.7430903867271248,29
648,2015,Purdue,0.4493373090982449,43
650,2015,Oklahoma St.,0.3140693714814007,47
651,2015,Texas Southern,0.06982178525399327,64
652,2015,Mississippi,0.506235633098621,40
653,2015,Coastal Carolina,0.10990344184308598,57
654,2015,BYU,0.5562992009640552,38
655,2015,Harvard,0.2231945988270955,51
657,2015,Wofford,0.2105554857640737,52
658,2015,UC Irvine,0.17323872917854324,53
659,2015,LSU,0.4392681892879481,44
660,2015,Albany,0.1502875917994156,55
661,2015,Belmont,0.08804511821137492,62
662,2015,Boise St.,0.6467664994258111,33
663,2015,Lafayette,0.05199868437727158,67
664,2015,Georgia,0.47118879849236595,41
665,2015,Wyoming,0.1025720378077532,60
666,2015,North Dakota St.,0.10638165089791354,59
667,2015,North Florida,0.08526133399852209,63
668,2015,Robert Morris,0.05757926062371238,66
669,2015,St. John's,0.5551889012772864,39
670,2015,Stephen F. Austin,0.26436585806409396,48
671,2015,Davidson,0.6312284051276518,34
672,2015,Eastern Washington,0.15706509348717887,54
649,2015,Texas,0.8723565899323278,26
673,2015,New Mexico St.,0.13201671315952634,56
674,2015,Northeastern,0.10986606984861237,58
675,2015,Manhattan,0.05947054445842383,65
676,2015,Buffalo,0.4206932789602292,46
677,2015,Hampton,0.030891189690836426,68
678,2015,Indiana,0.5757122961621199,37
679,2015,Valparaiso,0.4540806304909657,42
544,2016,Villanova,2.4363694236573994,4
545,2016,North Carolina,4.244121110114947,1
546,2016,Oklahoma,2.217946199440692,8
547,2016,Syracuse,0.832668017330147,30
548,2016,Kansas,3.101170250495428,2
550,2016,Virginia,2.3590920105211133,6
549,2016,Oregon,1.5893711493890743,13
551,2016,Notre Dame,0.810704655733764,31
553,2016,Duke,1.6523798410228405,11
552,2016,Texas A&M,1.6191144947559266,12
554,2016,Miami FL,1.314875224311478,15
555,2016,Maryland,1.0255655910760861,22
559,2016,Gonzaga,1.2055002291100834,18
556,2016,Indiana,1.31087083603567,16
557,2016,Iowa St.,1.184318810914434,19
558,2016,Wisconsin,0.5905768951433319,41
560,2016,Xavier,1.715575358517492,9
561,2016,Kentucky,2.2727879541711893,7
562,2016,VCU,1.014472885219682,23
564,2016,Connecticut,1.2600171414683432,17
565,2016,Iowa,1.3907726693175257,14
572,2016,Wichita St.,1.0649769843655894,21
566,2016,Butler,0.7747459668832906,34
567,2016,Utah,0.7308665292253791,36
568,2016,Yale,0.3157616919616978,50
569,2016,Northern Iowa,0.38936240631423846,45
570,2016,Saint Joseph's,0.9675178544994723,27
563,2016,Providence,0.7394049752329424,35
571,2016,Stephen F. Austin,0.3292988409953943,48
573,2016,Hawaii,0.3253234964573046,49
574,2016,Little Rock,0.7870064412176081,32
575,2016,Middle Tennessee,0.1857135720394956,58
576,2016,Michigan St.,3.099196851135052,3
577,2016,West Virginia,2.4015772137690536,5
578,2016,Purdue,1.7069417711546855,10
580,2016,Texas,0.8602614658551226,29
581,2016,Cincinnati,1.0033331183893626,24
582,2016,Baylor,0.7147829756417609,37
583,2016,Pittsburgh,0.6345995580612112,38
592,2016,USC,0.7841685278810548,33
593,2016,Michigan,0.9446543906808564,28
584,2016,California,0.9718667977770898,26
586,2016,Oregon St.,0.40537627852149194,44
587,2016,Southern,0.058643525152614076,65
588,2016,Holy Cross,0.023878938423793725,68
589,2016,Green Bay,0.15512808581667586,59
590,2016,Cal St. Bakersfield,0.19245432247031835,57
591,2016,UNC Wilmington,0.30976667288148974,51
594,2016,Stony Brook,0.3056797922973634,53
595,2016,Tulsa,0.25842480448881683,55
596,2016,Florida Gulf Coast,0.0769807142391365,63
597,2016,Fairleigh Dickinson,0.03424596713404055,66
598,2016,Chattanooga,0.2854735503717771,54
599,2016,Weber St.,0.09418049685830951,62
585,2016,Arizona,0.9868873997921488,25
600,2016,South Dakota St.,0.3300532220314958,47
601,2016,Temple,0.6318313504384498,39
602,2016,UNC Asheville,0.10223971384935115,61
603,2016,Colorado,0.5065402155303569,42
604,2016,Buffalo,0.10446831683444507,60
605,2016,Austin Peay,0.03258552161990648,67
606,2016,Vanderbilt,0.6234915398468311,40
579,2016,Seton Hall,1.1538314933287368,20
607,2016,Texas Tech,0.3093861294551167,52
608,2016,Iona,0.23037572662331535,56
609,2016,Hampton,0.05864779565119822,64
610,2016,Fresno St.,0.3845999141775518,46
611,2016,Dayton,0.4651963348809603,43
476,2017,North Carolina,3.036669362422753,2
477,2017,Gonzaga,2.0830371905894163,6
478,2017,Oregon,1.3748224863478682,20
479,2017,South Carolina,0.6019653593677755,37
480,2017,Kansas,2.1478132062123985,5
481,2017,Kentucky,2.459972650252075,3
482,2017,Florida,1.573130414057447,16
483,2017,Xavier,0.7611937217734642,29
484,2017,Arizona,2.0244430996407248,7
485,2017,West Virginia,1.8265984615069444,10
486,2017,Butler,1.2231920926655606,21
489,2017,UCLA,1.7171670166114517,13
487,2017,Baylor,1.219775663681107,22
488,2017,Wisconsin,1.6347711073707576,15
490,2017,Michigan,1.7434160117715871,12
491,2017,Purdue,1.172304150929138,23
492,2017,Villanova,4.532365441693605,1
493,2017,Duke,2.2096545232400273,4
494,2017,Louisville,1.9309332678494808,8
495,2017,Florida St.,1.5616444468337438,18
497,2017,Iowa St.,1.5566835703610655,19
498,2017,Saint Mary's,0.9572443592207867,27
499,2017,Notre Dame,1.8109492172328658,11
501,2017,Virginia,1.573075986437998,17
496,2017,Cincinnati,1.7052162726085975,14
502,2017,Arkansas,0.6380568605754429,32
503,2017,Wichita St.,1.000708726049567,24
505,2017,Middle Tennessee,0.6116850002142862,36
500,2017,Northwestern,0.6183501380055964,35
504,2017,USC,0.6681149483165171,31
